,word,count
29966,refund,134
35669,ugh,134
10685,causing,134
33139,stay,133
30329,resolve,133
21348,job,133
10780,centre,133
36338,usb,132
13818,doesnt,132
37917,wife,132
37953,windows,132
25857,numbers,132
27749,place,132
19876,immediately,132
18893,hit,132
30419,restored,131
37464,wants,131
11700,connecting,130
34141,team,130
31970,shitty,130
30787,roll,130
11945,correctly,130
10702,cc,130
38346,wth,129
21937,kind,129
15828,failed,129
18884,his,128
10796,certain,128
30361,respond,128
6996,af,128
29719,rebooting,128
20127,information,128
6967,advise,127
1592,2017,127
16969,function,126
12377,customers,125
20945,ive,125
16915,fuckin,125
28142,post,125
10376,cable,125
27698,pissing,124
18838,highsierra,124
33707,swear,124
19157,however,124
8347,att,124
15893,family,124
24194,mini,123
23724,matter,123
23197,lt,123
20049,india,122
9422,bit,122
3051,3rd,122
15559,expect,122
19847,imessages,121
9785,bottom,121
24182,mind,121
18621,heck,121
26391,omg,121
24127,middle,121
35794,um,121
15807,factory,120
12390,cut,120
28078,pops,120
32764,sounds,120
36330,usage,120
22636,letters,120
22796,line,120
26332,older,120
8948,basically,119
24047,meu,119
30233,report,119
34363,texting,119
16806,friend,118
30330,resolved,118
35398,tweets,118
37761,whats,118
14130,dropping,118
7256,alarms,118
27121,part,117
10013,bs,117
6883,added,117
16744,freaking,117
20512,ios11update,117
38113,wondering,117
7977,appointment,117
24428,model,116
12847,default,116
22539,leave,116
31735,serious,116
9943,bring,116
10881,characters,115
37426,wake,115
28490,process,114
29838,recording,114
21843,key,114
36749,verification,114
6963,advice,113
7788,apparently,113
27233,paying,113
10442,calling,112
31749,server,112
9966,bro,112
34585,throw,112
17273,gb,112
19192,hrs,112
15209,es,111
11758,constant,111
28538,program,111
30139,removed,111
15319,et,111
18392,hangs,111
25259,news,111
20465,ios10,111
29656,ready,110
31881,share,110
34663,till,110
32871,spent,110
23616,manually,110
22569,legit,109
32356,sleep,109
19928,impossible,109
6837,actual,109
21925,killed,109
12552,da,108
27252,pc,108
30966,runs,108
32893,spinning,107
32644,solved,107
631,123765,107
22431,lasts,107
29260,questions,107
37533,watchos,106
14132,drops,106
17,02,105
12795,decided,105
23962,menu,105
16838,froze,105
11231,closing,105
