,word,count
812,mini,117
813,3rd,116
814,middle,116
815,factory,116
816,dropping,116
817,respond,116
818,certain,116
819,post,116
820,bottom,115
821,part,115
822,believe,114
823,added,114
824,2017,114
825,sounds,114
826,verification,113
827,af,113
828,ugh,113
829,friend,113
830,expect,113
831,alarms,112
832,line,112
833,leave,112
834,cable,111
835,wondering,111
836,paying,111
837,wake,111
838,hrs,111
839,program,111
840,bring,110
841,appointment,110
842,india,110
843,pops,108
844,process,108
845,runs,108
846,calling,108
847,default,108
848,cut,108
849,recording,108
850,serious,108
851,spent,107
852,removed,107
853,iphone7,107
854,constant,107
855,texting,106
856,to,106
857,drops,105
858,hangs,105
859,ios11update,105
860,sleep,105
861,lasts,105
862,wth,105
863,spinning,105
864,server,104
865,till,104
866,watchos,104
867,the,103
868,4k,103
869,advice,103
870,manually,102
871,throw,102
872,cc,102
873,there,102
874,whats,102
875,mbp,102
876,decided,101
877,imessages,101
878,scam,101
879,share,101
880,mind,101
881,ready,101
882,pick,100
883,swear,100
884,model,100
885,autocorrecting,100
886,quite,99
887,letters,99
888,passcode,99
889,apparently,99
890,froze,99
891,disaster,99
892,fuckin,99
893,third,99
894,tweets,99
895,break,98
896,closed,98
897,resolved,98
898,news,98
899,2nd,98
900,except,98
901,clear,98
902,hanging,98
903,cash,98
904,test,97
905,report,97
906,provide,97
907,daily,97
908,key,97
909,closing,97
910,select,96
911,gave,96
912,playlists,96
913,thinking,96
914,activity,96
915,carrier,96
916,usually,95
917,disable,95
918,letting,95
919,impossible,95
920,machine,95
921,menu,95
922,voicemail,95
923,silent,94
924,killed,94
925,nope,94
926,view,94
927,gps,94
928,per,94
929,pc,93
930,tomorrow,93
931,honestly,93
932,pause,93
933,noise,93
934,percentage,93
935,characters,93
936,lots,93
937,freaking,93
938,02,93
939,tips,93
940,will,93
941,loop,93
942,verify,93
943,playlist,92
944,anybody,92
945,cloud,92
946,original,92
947,file,92
948,ordered,91
949,record,91
950,forced,91
951,saved,91
952,hardware,91
953,straight,91
954,omg,91
955,actual,90
956,especially,90
957,pissing,90
958,bs,90
959,site,90
960,heck,90
961,important,90
962,responding,90
963,inside,90
964,tap,89
965,60,89
966,moment,89
967,business,89
968,light,89
969,folder,89
970,plays,89
971,1st,89
972,tech,89
973,huge,88
974,caused,88
975,moving,88
976,earlier,88
977,window,88
978,logged,88
979,boot,88
980,self,87
981,social,87
982,99,87
983,lte,87
984,group,87
985,signal,87
986,screens,87
987,details,87
988,rather,87
989,luck,86
990,anytime,86
991,talking,86
992,probably,86
993,70,86
994,pair,86
995,1000,85
996,destroyed,85
997,switched,85
998,transfer,85
999,questions,85
1000,including,85
1001,icons,85
1002,house,84
1003,disappear,84
1004,absolute,84
1005,world,84
1006,extra,84
1007,remember,84
1008,quit,84
1009,lately,84
1010,ring,84
1011,definitely,84
1012,pages,84
1013,stays,84
1014,hand,83
1015,signed,83
1016,despite,83
1017,nowhere,83
1018,chance,83
1019,slowed,82
1020,sad,82
1021,funny,82
1022,exclamation,82
1023,feels,82
1024,90,82
1025,recover,82
1026,clearly,82
1027,sms,82
1028,resets,82
1029,green,82
1030,opened,82
1031,restoring,82
1032,upset,81
1033,tells,81
1034,status,81
1035,beyond,80
1036,double,80
1037,sense,80
1038,nightmare,80
1039,continue,80
1040,watching,80
1041,anywhere,80
1042,landscape,80
1043,hang,79
1044,weather,79
1045,followed,79
1046,book,79
1047,bro,79
1048,iphone6,79
1049,ruining,79
1050,cuz,79
1051,refresh,79
1052,cracked,79
1053,options,79
1054,step,79
1055,45,78
1056,adapter,78
1057,kept,78
1058,woke,78
1059,act,78
1060,backed,78
1061,needed,78
1062,tho,78
1063,solved,78
1064,amount,78
1065,expensive,78
1066,patch,78
1067,brick,78
1068,miss,77
1069,unlocked,77
1070,exactly,77
1071,edit,77
1072,kindly,77
1073,gift,77
1074,recognize,77
1075,speed,77
1076,smart,76
1077,public,76
1078,considering,76
1079,25,76
1080,note,76
1081,fixit,76
1082,airplane,76
1083,awesome,76
1084,somehow,76
1085,disappearing,76
1086,spend,75
1087,they,75
1088,drained,75
1089,calculator,75
1090,ios1103,75
1091,reservation,75
1092,helpful,75
1093,wireless,75
1094,000,74
1095,total,74
1096,80,74
1097,in,74
1098,setup,74
1099,accidentally,74
1100,create,74
1101,operating,74
1102,legit,74
1103,unacceptable,74
1104,keys,73
1105,speak,73
1106,given,73
1107,insane,73
1108,fan,73
1109,syncing,73
1110,sharing,73
1111,purchases,73
1112,forgot,73
1113,everyday,73
1114,normally,73
1115,image,73
1116,rate,73
1117,clean,73
1118,services,73
1119,enabled,72
1120,applewatch,72
1121,fails,72
1122,portrait,72
1123,searching,72
1124,revert,72
1125,accounts,72
1126,typed,72
1127,worth,72
1128,chargers,72
1129,shortcut,72
1130,headphone,72
1131,iphone8,71
1132,sorted,71
1133,friday,71
1134,loyal,71
1135,14,71
1136,kinda,71
1137,confused,71
1138,launch,71
1139,appstore,71
1140,request,71
1141,general,71
1142,example,71
1143,appearing,70
1144,17,70
1145,fault,70
1146,fake,70
1147,earphones,70
1148,blue,70
1149,gen,70
1150,mid,70
1151,application,70
1152,safe,70
1153,speakers,70
1154,charges,70
1155,perfect,69
1156,screenshots,69
1157,locking,69
1158,onto,69
1159,water,69
1160,english,69
1161,push,69
1162,fire,69
1163,choose,69
1164,everywhere,69
1165,strange,68
1166,iphone6s,68
1167,red,68
1168,supported,68
1169,heard,68
1170,reading,68
1171,five,68
1172,cost,68
1173,bruh,68
1174,delivery,68
1175,stores,67
1176,specific,67
1177,continues,67
1178,replacing,67
1179,fed,67
1180,feedback,67
1181,alright,67
1182,adding,67
1183,web,67
1184,are,67
1185,pull,67
1186,upload,67
1187,corner,66
1188,remote,66
1189,slowly,66
1190,party,66
1191,content,66
1192,attached,66
1193,by,66
1194,macbookpro,66
1195,nonsense,66
1196,neither,66
1197,nearly,65
1198,loads,65
1199,bt,65
1200,thru,65
1201,faulty,65
1202,accept,65
1203,bunch,65
1204,16,65
1205,means,65
1206,frequently,65
1207,looked,65
1208,errors,65
1209,heating,65
1210,across,65
1211,billing,65
1212,percent,65
1213,alone,64
1214,applecare,64
1215,following,64
1216,putting,64
1217,stream,64
1218,airdrop,64
1219,near,64
1220,unfortunately,64
1221,desktop,64
1222,regarding,64
1223,widget,64
1224,regret,64
1225,gotten,64
1226,copy,63
1227,hung,63
1228,albums,63
1229,networks,63
1230,confirm,63
1231,shocking,63
1232,disconnecting,63
1233,memory,63
1234,ear,63
1235,cell,62
1236,autocorrects,62
1237,front,62
1238,lightning,62
1239,rebooted,62
1240,overnight,62
1241,notice,62
1242,history,62
1243,simply,62
1244,helping,62
1245,wall,62
1246,loud,62
1247,fb,62
1248,2015,62
1249,responsive,62
1250,personal,62
1251,sos,62
1252,regular,62
1253,square,61
1254,flash,61
1255,sitting,61
1256,scroll,61
1257,features,61
1258,track,61
1259,controls,61
1260,didnt,61
1261,irritating,61
1262,bricked,60
1263,factor,60
1264,true,60
1265,beats,60
1266,disturb,60
1267,forcing,60
1268,created,60
1269,short,60
1270,movies,60
1271,8p,60
1272,applesupport,60
1273,missed,60
1274,expected,59
1275,price,59
1276,delivered,59
1277,versions,59
1278,rn,59
1279,6plus,59
1280,3d,59
1281,games,59
1282,wheel,58
1283,unavailable,58
1284,bout,58
1285,simple,58
1286,incorrect,58
1287,bank,58
1288,applications,58
1289,correcting,58
1290,difficult,58
1291,locks,58
1292,yep,58
1293,iphone7plus,58
1294,ringtone,58
1295,pic,58
1296,alert,57
1297,imovie,57
1298,um,57
1299,glad,57
1300,alerts,57
1301,images,57
1302,tripping,57
1303,failing,57
1304,external,57
1305,instructions,57
1306,dude,56
1307,compatible,56
1308,played,56
1309,main,56
1310,mistake,56
1311,experienced,56
1312,refuses,56
1313,stand,56
1314,predictive,56
1315,slowing,56
1316,glass,56
1317,exact,56
1318,holding,56
1319,2016,56
1320,passwords,56
1321,character,56
1322,18,56
1323,method,56
1324,quicker,56
1325,course,56
1326,zero,56
1327,aware,56
1328,steve,55
1329,solutions,55
1330,lus,55
1331,port,55
1332,downloads,55
1333,ability,55
1334,closes,55
1335,movie,55
1336,excuse,55
1337,saving,55
1338,covered,55
1339,progress,55
1340,shipping,55
1341,occurred,55
1342,odd,55
1343,opens,55
1344,official,55
1345,aye,55
1346,enable,55
1347,circle,55
1348,blocked,55
1349,disappears,54
1350,boxed,54
1351,student,54
1352,asks,54
1353,hoping,54
1354,prior,54
1355,disconnects,54
1356,hurry,54
1357,disconnect,54
1358,tonight,54
1359,block,54
1360,four,54
1361,local,54
1362,pain,54
1363,names,54
1364,damage,54
1365,radio,53
1366,becomes,53
1367,decides,53
1368,reboots,53
1369,clicking,53
1370,over,53
1371,dark,53
1372,appeared,53
1373,finish,53
1374,usual,53
1375,batteries,53
1376,connectivity,53
1377,switches,53
1378,article,52
1379,hotspot,52
1380,suppose,52
1381,delayed,52
1382,appletv,52
1383,repaired,52
1384,assist,52
1385,school,52
1386,functions,52
1387,offer,52
1388,up,52
1389,netflix,52
1390,rude,52
1391,afford,52
1392,kill,52
1393,appreciated,52
1394,hardly,52
1395,incredibly,52
1396,chrome,52
1397,sincerely,51
1398,common,51
1399,repeatedly,51
1400,easy,51
1401,slide,51
1402,delay,51
1403,finger,51
1404,writing,51
1405,nuts,51
1406,cards,51
1407,ppl,51
1408,jobs,51
1409,figured,51
1410,dock,51
1411,helps,51
1412,preorder,51
1413,shot,51
1414,meant,51
1415,mom,51
1416,lines,51
1417,messenger,51
1418,ui,51
1419,guy,50
1420,mostly,50
1421,msg,50
1422,installation,50
1423,incoming,50
1424,lower,50
1425,helped,50
1426,00,50
1427,wonder,50
1428,stolen,50
1429,crackling,50
1430,active,50
1431,difference,50
1432,workout,50
1433,automatic,50
1434,apart,50
1435,sell,49
1436,member,49
1437,somebody,49
1438,angry,49
1439,bitch,49
1440,ran,49
1441,nov,49
1442,early,49
1443,synced,49
1444,overall,49
1445,iphone8plus,49
1446,forward,49
1447,sec,49
1448,4th,49
1449,failure,49
1450,skip,49
1451,browser,49
1452,breaking,49
1453,country,49
1454,messaging,49
1455,touchscreen,49
1456,although,49
1457,similar,48
1458,ringtones,48
1459,ugly,48
1460,appleid,48
1461,pressing,48
1462,finder,48
1463,mouse,48
1464,tone,48
1465,fam,48
1466,complaint,48
1467,managed,48
1468,nobody,48
1469,cold,48
1470,saw,48
1471,follow,48
1472,scrolling,48
1473,ringer,48
1474,connects,48
1475,hacked,48
1476,handle,48
1477,grey,48
1478,cover,48
1479,whilst,48
1480,adjust,47
1481,fingerprint,47
1482,27,47
1483,cancelled,47
1484,wallet,47
1485,ship,47
1486,shame,47
1487,authentication,47
1488,nah,47
1489,wasted,47
1490,bloody,47
1491,models,47
1492,pm,47
1493,thoughts,47
1494,wiped,47
1495,types,47
1496,directly,47
1497,ups,47
1498,warning,47
1499,__email__,47
1500,4g,47
1501,why,47
1502,reinstall,47
1503,design,46
1504,november,46
1505,whyyy,46
1506,walk,46
1507,reported,46
1508,7s,46
1509,feeling,46
1510,behind,46
1511,functioning,46
1512,becoming,46
1513,became,46
1514,streaming,46
1515,activated,46
1516,rest,46
1517,fyi,46
1518,uses,46
1519,galaxy,46
1520,declined,46
1521,gmail,46
1522,fun,46
1523,cutting,46
1524,spam,46
1525,disconnected,46
1526,son,46
1527,persists,46
1528,previously,45
1529,on,45
1530,pauses,45
1531,unlocking,45
1532,erased,45
1533,hopefully,45
1534,soft,45
1535,cheers,45
1536,reinstalled,45
1537,ios111,45
1538,brought,45
1539,purpose,45
1540,attempt,45
1541,empty,45
1542,join,45
1543,related,45
1544,airplay,44
1545,showed,44
1546,erase,44
1547,suggestion,44
1548,tries,44
1549,blurry,44
1550,suggested,44
1551,knew,44
1552,trust,44
1553,tryna,44
1554,knows,44
1555,cuts,44
1556,undo,44
1557,exchange,44
1558,final,44
1559,snap,44
1560,command,44
1561,appt,44
1562,this,44
1563,pathetic,43
1564,ages,43
1565,accessory,43
1566,loses,43
1567,iwatch,43
1568,cord,43
1569,resolution,43
1570,items,43
1571,unhappy,43
1572,small,43
1573,outside,43
1574,input,43
1575,rings,43
1576,rep,43
1577,toggle,43
1578,ffs,43
1579,hella,43
1580,touching,43
1581,01,43
1582,disappointing,43
